sheet,cell,row,column,formula,cached_value
Snapshot,C18,18,C,=Inputs!$X$6,0.1066
Snapshot,D18,18,D,=Inputs!$X$7,0.0727
Snapshot,E18,18,E,=Inputs!$X$8,0.0783
Snapshot,F18,18,F,=Inputs!$X$9,0.1066
Snapshot,B19,19,B,=B17-B18,0.18007899159663865
Snapshot,C19,19,C,=C17-C18,0.14665624999999996
Snapshot,D19,19,D,=D17-D18,0.05460666666666668
Snapshot,E19,19,E,=E17-E18,0.31140231572139476
Snapshot,F19,19,F,=F17-F18,0.019178230303030314
Snapshot,B20,20,B,=B14*Inputs!$U$5/B12,0.18231932773109244
Snapshot,C20,20,C,=C14*Inputs!$U$6/C12,0.1688375
Snapshot,D20,20,D,=D14*Inputs!$U$7/D12,0.09093333333333334
Snapshot,E20,20,E,=E14*Inputs!$U$8/E12,0.21650128651188602
Snapshot,F20,20,F,=F14*Inputs!$U$9/F12,0.09826424242424243
Snapshot,B21,21,B,=B20-B18,0.08891932773109244
Snapshot,C21,21,C,=C20-C18,0.0622375
Snapshot,D21,21,D,=D20-D18,0.018233333333333338
Snapshot,E21,21,E,=E20-E18,0.138201286511886
Snapshot,F21,21,F,=F20-F18,-0.008335757575757566
Snapshot,B22,22,B,=B14*Inputs!$W$5/B12,0.3646386554621849
Snapshot,C22,22,C,=C14*Inputs!$W$6/C12,0.337675
Snapshot,D22,22,D,=D14*Inputs!$W$7/D12,0.17277333333333333
Snapshot,E22,22,E,=E14*Inputs!$W$8/E12,0.541253216279715
Snapshot,F22,22,F,=F14*Inputs!$W$9/F12,0.15722278787878793
Snapshot,B23,23,B,=B22-B18,0.2712386554621849
Snapshot,C23,23,C,=C22-C18,0.231075
Snapshot,D23,23,D,=D22-D18,0.10007333333333333
Snapshot,E23,23,E,=E22-E18,0.46295321627971503
Snapshot,F23,23,F,=F22-F18,0.050622787878787934
Snapshot,B25,25,B,=Trajectory!$G$10,0.19842209469153516
Snapshot,C25,25,C,=Trajectory!$G$17,0.1752718836256789
Snapshot,D25,25,D,=Trajectory!$G$24,0.044724242424242444
Snapshot,E25,25,E,=Trajectory!$G$31,0.25050616018917116
Snapshot,F25,25,F,=Trajectory!$G$38,0.03252177960829744
Snapshot,B26,26,B,=Trajectory!$C$10,0.17495196888672826
Snapshot,C26,26,C,=Trajectory!$C$17,0.010898663458968158
Snapshot,D26,26,D,=Trajectory!$C$24,0.00505844389895288
Snapshot,E26,26,E,=Trajectory!$C$31,0.05069779735682821
Snapshot,F26,26,F,=Trajectory!$C$38,0.09201953653630118
Snapshot,B27,27,B,=(B25-B26)*10000,234.70125804806895
Snapshot,C27,27,C,=(C25-C26)*10000,1643.7322016671073
Snapshot,D27,27,D,=(D25-D26)*10000,396.6579852528956
Snapshot,E27,27,E,=(E25-E26)*10000,1998.0836283234294
Snapshot,F27,27,F,=(F25-F26)*10000,-594.9775692800374
